Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
source,sores
source,sours
serial,cereal
add,ad
json,Jason
json,Eason
commit,comet
python,Tyson
python,pisan
python,piston
python,piton
python,parson
queue,cue
queue,cu
coop,coup
flex,flicks
flex,flecks
flex,flux
flex,flix
else,els
else,el's
encoder,and coder
sensor,censor
sensors,censors
sensor,censer
sensors,censers
evolabel,evil label
talon,Calum
talon,Tallon
plugin,plugging
cursorless,cursor less
traveling,travelling
traveled,travelled
main,mane
main,Maine
dispatch,despatch
printhead,print head
printhead,print had
keys,qis
keys,kes
keys,Keyes
manual,manuel
manual,Emmanuel
